Wall time,Step,Value
1620426007.847928,3371,0.11020407825708389
1620426139.5616093,7185,0.1071428582072258
1620426157.2153852,7697,0.11347517371177673
1620426314.0846157,12139,0.11087419837713242
1620426446.449391,15748,0.07299269735813141
1620426814.3141541,26254,0.07407407462596893
1620426830.6501267,26712,0.1111111119389534
1620426874.3829079,27946,0.13924050331115723
1620427191.8334491,36556,0.08635097742080688
1620427217.5133035,37246,0.12380952388048172
1620427350.1557224,40836,0.08771929889917374
1620427438.8243177,43302,0.09574468433856964
1620427651.6350284,49040,0.11382114142179489
1620427665.9995716,49424,0.09497206658124924
1620427726.3263514,50970,0.18045112490653992
1620427904.8649042,55434,0.03658536449074745
1620428008.4049187,58300,0.42081448435783386
1620428374.0874512,67439,0.02857142873108387
1620428600.3942416,73150,0.5060241222381592
1620428710.937408,75848,0.05714285746216774
1620429145.3023727,86689,0.4899328947067261
1620429320.7997317,90754,0.17045454680919647
1620429424.9528832,93251,0.3177570104598999
1620429473.4065862,94393,0.1599999964237213
1620429479.4624417,94542,0.12080536782741547
1620429774.7577958,101800,0.18518517911434174
1620429891.6511738,104726,0.2211538404226303
1620429960.5169253,106219,0.09589041024446487
1620430076.3763704,109127,0.014851485379040241
1620430134.9577973,110710,0.051851850003004074
1620430470.2393594,119190,0.658823549747467
1620430511.858452,120181,0.18681319057941437
1620430817.6826193,127944,0.13962264358997345
1620430846.3053088,128673,0.12408759444952011
1620430859.4667451,128999,0.18888889253139496
1620430960.877541,131524,0.5116279125213623
1620430967.9928908,131713,0.39175257086753845
1620431014.8875694,132843,0.1984127014875412
1620431070.3105657,134231,0.01315789483487606
1620431137.7909634,135951,0.21834060549736023
1620431334.5045645,141135,0.4317460358142853
1620432003.715026,157288,0.4245283007621765
1620432162.7554066,161283,0.158620685338974
1620432166.835662,161393,0.036363635212183
1620432190.3052595,161971,0.17499999701976776
1620432226.3465457,162906,0.07526881992816925
1620432338.3338695,166058,0.10967741906642914
1620432354.1705317,166479,0.19254659116268158
1620432435.0133808,168619,0.2142857164144516
1620432759.0307188,176974,0.0927419364452362
1620432778.2005792,177470,0.2666666805744171
1620432931.8911152,181275,0.03191489353775978
1620432995.3484828,182872,0.12903225421905518
1620433025.3323867,183650,0.38947367668151855
1620433374.378726,192600,0.15333333611488342
1620433409.0498688,193494,0.130952388048172
1620433416.159479,193665,0.09941520541906357
1620433535.6827755,196551,0.23966942727565765
1620433602.5782824,198154,0.13907285034656525
1620433971.4540355,206990,0.14465409517288208
1620434076.8813486,209734,0.039840638637542725
1620434474.700315,220262,0.06796116381883621
1620434496.3151999,220834,0.13265305757522583
1620434591.6746275,223331,0.24528302252292633
1620434623.027308,224104,0.22900763154029846
1620434926.8506014,231997,0.07486630976200104
1620434973.4682212,233288,0.15418502688407898
1620435130.1356418,237322,0.17592592537403107
1620435213.8911564,239451,0.1764705926179886
1620435268.500168,240837,0.4057376980781555
1620435491.2105553,246356,0.09375
1620435563.6546378,248125,0.125
1620435662.0214405,250507,0.10989011079072952
1620435926.850841,257113,0.19780220091342926
1620436133.2101264,262252,0.2844827473163605
1620436260.2435076,265397,0.09375
1620436400.4538867,268874,0.20652173459529877
1620436424.4224584,269454,0.2738853394985199
1620436539.0337787,272191,0.2849161922931671
1620436761.0454917,277891,0.028169013559818268
1620437036.710248,285144,0.0892857164144516
1620437074.0499732,286170,0.043478261679410934
1620437173.7751565,288769,0.051948051899671555
1620437247.485351,290686,0.09708737581968307
1620437356.6798503,293444,0.4663212299346924
1620437368.852566,293759,0.4079602062702179
1620437394.1161463,294326,0.47280335426330566
1620437686.2897894,301735,0.16483516991138458
1620438004.879267,309574,0.17424242198467255
1620438167.5858083,313641,0.13197968900203705
1620438236.4874713,315350,0.05487804859876633
1620438319.4993556,317436,0.05263157933950424
1620438334.3644762,317810,0.40366971492767334
1620438423.4492884,320004,0.17307692766189575
1620438722.1500423,327535,0.47200000286102295
1620438847.7091832,330861,0.1504424810409546
1620438926.662785,333008,0.15658363699913025
1620438937.7564049,333321,0.07339449226856232
1620439349.153533,342561,0.029154518619179726
1620439464.1164577,345656,0.040816325694322586
1620439617.2290637,349667,0.104347825050354
1620439927.8971865,357602,0.072727270424366
1620439931.301765,357695,0.08602150529623032
1620439996.751669,359319,0.30985915660858154
1620440037.5044143,360353,0.2710280418395996
1620440086.2200658,361530,0.12857143580913544
1620440547.2050977,372232,0.2850678861141205
1620440598.784768,373515,0.14765100181102753
